nm0291205	David Frankel	1959	tt0185906,tt0096566,tt1196956,tt0458352
nm0795288	John F. Showalter	\N	tt0460686,tt0460681,tt0321021,tt5511582
nm0510674	Kevin Lima	1962	tt0461770,tt0103639,tt0113198,tt0120855
nm0001348	Werner Herzog	1942	tt0068182,tt0083946,tt0427312,tt0790724
nm0798899	David Silverman	1957	tt0107978,tt0462538,tt0198781,tt0096697
nm0510912	Justin Lin	1971	tt1596343,tt0280477,tt2660888,tt1905041
nm1291105	J.A. Bayona	1975	tt3416532,tt1649419,tt4881806,tt0464141
nm0006904	Tony Gilroy	1956	tt0465538,tt2872718,tt3748528,tt1135487
nm0205157	Michael Davis	1961	tt0119054,tt0103060,tt0214388,tt0465602
nm0307497	Alex Garland	1970	tt0470752,tt2798920,tt1334260,tt0289043
nm0009942	Shane Acker	\N	tt0443424,tt0167260,tt0472033,tt1386703
nm0001566	Mike Nichols	1931	tt0376541,tt0115685,tt0061184,tt0061722
nm0131700	Paul Cameron	1958	tt0369339,tt0187078,tt0453467,tt0328107
nm0506613	Shawn Levy	1968	tt1714206,tt2543164,tt2234155,tt4574334
nm0201509	Eric Darnell	\N	tt0351283,tt0479952,tt1277953,tt0120587
nm0276349	Shane Meadows	1972	tt0120391,tt0419677,tt0202559,tt0480025
nm1349376	Francis Lawrence	1971	tt1951266,tt0480249,tt0360486,tt1951264
nm0001708	Joel Schumacher	1939	tt0134273,tt0106856,tt0293508,tt0118688
nm1052162	Bryan Bertino	1977	tt3976144,tt1285009,tt0482606,tt3286052
nm0233757	Jaco Van Dormael	1957	tt3792960,tt0103105,tt0116581,tt0485947
nm0891216	Matthew Vaughn	1971	tt2802144,tt1270798,tt0375912,tt1250777
nm1135423	Darren Lynn Bousman	1979	tt4163020,tt0432348,tt1480285,tt0963194
nm0579318	Linda Mendoza	\N	tt0285403,tt0805669,tt2769470,tt10085386
nm0000576	Sean Penn	1960	tt0327056,tt0112818,tt0315733,tt1013753
nm1732981	Martin McDonagh	1970	tt1931533,tt5027774,tt0425458,tt0780536
nm0003160	Christopher McQuarrie	1968	tt2345759,tt0114814,tt1631867,tt4912910
nm0288144	Alastair Fothergill	1960	tt0296310,tt2092588,tt0795176,tt0146386
nm1630273	Phyllida Lloyd	1957	tt0795421,tt1007029,tt6911608,tt9902160
