tt0120667	Fantastic Four	2005	106	Action,Adventure,Fantasy	nm1103162
tt0120689	The Green Mile	1999	189	Crime,Drama,Fantasy	nm0001104
tt0120735	Lock, Stock and Two Smoking Barrels	1998	107	Action,Comedy,Crime	nm0005363
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	178	Action,Adventure,Drama	nm0001392
tt0120762	Mulan	1998	88	Adventure,Animation,Family	nm0176905
tt0120783	The Parent Trap	1998	128	Adventure,Comedy,Drama	nm0583600
tt0120789	Pleasantville	1998	124	Comedy,Drama,Fantasy	nm0002657
tt0120804	Resident Evil	2002	100	Action,Horror,Sci-Fi	nm0027271
tt0120815	Saving Private Ryan	1998	169	Drama,War	nm0000229
tt0120890	Wild Things	1998	108	Crime,Drama,Mystery	nm0573796
tt0120902	The X Files	1998	121	Drama,Mystery,Sci-Fi	nm0101385
tt0120912	Men in Black II	2002	88	Action,Adventure,Comedy	nm0001756
tt0120917	The Emperor's New Groove	2000	78	Adventure,Animation,Comedy	nm0227540
tt0121164	Corpse Bride	2005	77	Animation,Drama,Family	nm0000318
tt0121765	Star Wars: Episode II - Attack of the Clones	2002	142	Action,Adventure,Fantasy	nm0000184
tt0125439	Notting Hill	1999	124	Comedy,Drama,Romance	nm0585011
tt0129167	The Iron Giant	1999	86	Action,Adventure,Animation	nm0083348
tt0133093	The Matrix	1999	136	Action,Sci-Fi	nm0905152
tt0133240	Treasure Planet	2002	95	Adventure,Animation,Family	nm0166256
tt0134847	Pitch Black	2000	109	Action,Horror,Sci-Fi	nm0878638
tt0137494	Entrapment	1999	113	Action,Crime,Romance	nm0000750
tt0138097	Shakespeare in Love	1998	123	Comedy,Drama,History	nm0006960
tt0138704	Pi	1998	84	Drama,Horror,Mystery	nm0004716
tt0139134	Cruel Intentions	1999	97	Drama,Romance	nm0474955
tt0142342	Big Daddy	1999	93	Comedy,Drama	nm0240797
tt0144117	The Boondock Saints	1999	108	Action,Crime,Thriller	nm0240627
tt0145487	Spider-Man	2002	121	Action,Adventure,Sci-Fi	nm0000600
tt0145660	Austin Powers: The Spy Who Shagged Me	1999	95	Action,Adventure,Comedy	nm0005366
tt0146882	High Fidelity	2000	113	Comedy,Drama,Music	nm0001241
tt0158983	South Park: Bigger, Longer & Uncut	1999	81	Animation,Comedy,Fantasy	nm0005295
tt0159097	The Virgin Suicides	1999	97	Drama,Romance	nm0001068
tt0159206	Sex and the City	1998	30	Comedy,Drama,Romance	nm0818785
tt0162222	Cast Away	2000	143	Adventure,Drama,Romance	nm0000709
tt0163025	Jurassic Park III	2001	92	Action,Adventure,Sci-Fi	nm0002653
tt0163651	American Pie	1999	95	Comedy	nm0919369
tt0163978	The Beach	2000	119	Adventure,Drama,Romance	nm0000965
tt0165598	That '70s Show	1998	22	Comedy,Romance	nm0400958
tt0167190	Hellboy	2004	122	Action,Fantasy,Horror	nm0868219
tt0167260	The Lord of the Rings: The Return of the King	2003	201	Action,Adventure,Drama	nm0001392
tt0167261	The Lord of the Rings: The Two Towers	2002	179	Action,Adventure,Drama	nm0001392
tt0167404	The Sixth Sense	1999	107	Drama,Mystery,Thriller	nm0796117
tt0168629	Dancer in the Dark	2000	140	Crime,Drama,Musical	nm0001885
tt0172493	Girl, Interrupted	1999	127	Biography,Drama	nm0003506
